Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-01,10.880000,10.880000,10.880000,10.880000,10.797245,0
2020-07-02,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-06,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-07,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-08,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-09,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-10,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-13,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-14,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-15,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-16,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-17,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-20,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-21,10.900000,10.900000,10.900000,10.900000,10.817091,0
2020-07-22,10.900000,10.900000,10.900000,10.900000,10.817091,0
2020-07-23,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-24,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-27,10.890000,10.890000,10.890000,10.890000,10.807170,0
2020-07-28,10.900000,10.900000,10.900000,10.900000,10.817091,0
2020-07-29,10.900000,10.900000,10.900000,10.900000,10.817091,0
2020-07-30,10.900000,10.900000,10.900000,10.900000,10.817091,0
2020-07-31,10.910000,10.910000,10.910000,10.910000,10.841937,0
2020-08-03,10.910000,10.910000,10.910000,10.910000,10.841937,0
2020-08-04,10.910000,10.910000,10.910000,10.910000,10.841937,0
2020-08-05,10.910000,10.910000,10.910000,10.910000,10.841937,0
2020-08-06,10.910000,10.910000,10.910000,10.910000,10.841937,0
2020-08-07,10.900000,10.900000,10.900000,10.900000,10.831998,0
2020-08-10,10.900000,10.900000,10.900000,10.900000,10.831998,0
2020-08-11,10.900000,10.900000,10.900000,10.900000,10.831998,0
2020-08-12,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-13,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-14,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-17,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-18,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-19,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-20,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-21,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-24,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-25,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-26,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-27,10.880000,10.880000,10.880000,10.880000,10.812124,0
2020-08-28,10.890000,10.890000,10.890000,10.890000,10.822062,0
2020-08-31,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-01,10.900000,10.900000,10.900000,10.900000,10.846939,0
2020-09-02,10.900000,10.900000,10.900000,10.900000,10.846939,0
2020-09-03,10.900000,10.900000,10.900000,10.900000,10.846939,0
2020-09-04,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-08,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-09,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-10,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-11,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-14,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-15,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-16,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-17,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-18,10.880000,10.880000,10.880000,10.880000,10.827038,0
2020-09-21,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-22,10.890000,10.890000,10.890000,10.890000,10.836988,0
2020-09-23,10.880000,10.880000,10.880000,10.880000,10.827038,0
2020-09-24,10.880000,10.880000,10.880000,10.880000,10.827038,0
2020-09-25,10.880000,10.880000,10.880000,10.880000,10.827038,0
2020-09-28,10.880000,10.880000,10.880000,10.880000,10.827038,0
2020-09-29,10.880000,10.880000,10.880000,10.880000,10.827038,0
2020-09-30,10.880000,10.880000,10.880000,10.880000,10.840987,0
2020-10-01,10.880000,10.880000,10.880000,10.880000,10.840987,0
2020-10-02,10.880000,10.880000,10.880000,10.880000,10.840987,0
2020-10-05,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-06,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-07,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-08,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-09,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-12,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-13,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-14,10.880000,10.880000,10.880000,10.880000,10.840987,0
2020-10-15,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-16,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-19,10.870000,10.870000,10.870000,10.870000,10.831022,0
2020-10-20,10.870000,10.870000,10.870000,10.870000,10.831022,0
