"","time","close","Rd"
"2119",2006-08-08,3679,9.75687763534001
"2124",2006-08-15,3824,3.86560190665186
"2129",2006-08-22,3672,-4.0560522430912
"2133",2006-08-29,3750,2.10193672240759
"2138",2006-09-05,3882,3.45946447644998
"2143",2006-09-12,4010,3.2440756571658
"2148",2006-09-19,4275,6.39928610702469
"2153",2006-09-26,3979,-7.17535709439332
"2158",2006-10-03,3960,-0.478650617840159
"2163",2006-10-10,4042,2.04955937150402
"2168",2006-10-17,4159,2.85350417793442
"2173",2006-10-24,3978,-4.44954803289939
"2178",2006-10-31,4037,1.47226614390235
"2183",2006-11-07,4242,4.95330142716881
"2188",2006-11-14,4153,-2.12038914938741
"2193",2006-11-21,4138,-0.361838532526626
"2198",2006-11-28,4255,2.78821827019868
"2203",2006-12-05,4407,3.50994238345113
"2208",2006-12-12,4270,-3.15803586193155
"2213",2006-12-19,4330,1.3953714773864
"2217",2007-01-02,4421,2.07983728297076
"2222",2007-01-09,4617,4.33792286807471
"2227",2007-01-16,4555,-1.35196128129316
"2232",2007-01-23,4360,-4.37534733509786
"2237",2007-01-30,4287,-1.68848697451018
"2242",2007-02-06,4291,0.0932618393546747
"2247",2007-02-13,4360,1.59522513515551
"2252",2007-02-20,4359,-0.0229384104686758
"2257",2007-02-27,4704,7.61705373400705
"2262",2007-03-06,4921,4.50985512875146
"2267",2007-03-13,5069,2.96317976063722
"2272",2007-03-20,5172,2.01159014193983
"2277",2007-03-27,5364,3.64505045098209
"2282",2007-04-03,5439,1.38852550213908
"2285",2007-04-10,5552,2.05630027636801
"2290",2007-04-17,5601,0.878693002319153
"2295",2007-04-24,6029,7.36360062795747
"2300",2007-05-01,6255,3.67999844116049
"2304",2007-05-08,6395,2.21352911119315
"2309",2007-05-15,6688,4.47984407515953
"2314",2007-05-22,6471,-3.29842197072718
"2318",2007-05-29,6123,-5.52784835793112
"2323",2007-06-05,6023,-1.64666984342343
"2328",2007-06-12,5538,-8.39520493128134
"2333",2007-06-19,5310,-4.20415894949233
"2338",2007-06-26,6105,13.9516272308821
"2343",2007-07-03,6302,3.17589357724142
"2348",2007-07-10,6301,-0.0158692375164193
"2353",2007-07-17,6637,5.19517032038692
"2358",2007-07-24,6720,1.24281003712703
"2363",2007-07-31,6967,3.60965615129238
"2368",2007-08-07,6966,-0.0143544104171056
"2373",2007-08-14,7143,2.50916842290252
"2378",2007-08-21,7243,1.39026290403539
"2382",2007-08-28,7381,1.88736455747254
"2387",2007-09-04,7907,6.88393123008755
"2392",2007-09-11,8468,6.85459101838291
"2397",2007-09-18,8313,-1.84737987236687
"2402",2007-09-25,9215,10.3012036572837
"2407",2007-10-02,9566,3.73825541363182
"2412",2007-10-09,9860,3.02710233564376
"2417",2007-10-16,10748,8.62335221387021
"2422",2007-10-23,10944,1.80716701269485
"2427",2007-10-30,10886,-0.531380086818523
"2432",2007-11-06,10605,-2.61519719953629
"2437",2007-11-13,11039,4.01088690195692
"2442",2007-11-20,10647,-3.61562947037459
"2447",2007-11-27,9897,-7.3046481417915
"2452",2007-12-04,10285,3.8454842190367
"2457",2007-12-11,9929,-3.52267550534631
"2462",2007-12-18,9751,-1.80899241984758
"2471",2008-01-08,8730,-11.0604474001471
"2476",2008-01-15,7336,-17.3971634897347
"2481",2008-01-22,6437,-13.0731141883684
"2486",2008-01-29,5615,-13.6621004880073
"2491",2008-02-05,6032,7.1637042515249
"2496",2008-02-12,6712,10.681833845925
"2501",2008-02-19,7319,8.65767374541839
"2506",2008-02-26,7312,-0.0956872467240188
"2511",2008-03-04,7993,8.90493244920325
"2516",2008-03-11,8560,6.85340315097687
"2521",2008-03-18,7893,-8.11238994273857
"2524",2008-03-25,7619,-3.53311632353925
"2529",2008-04-01,7890,3.49510073669101
"2534",2008-04-08,7754,-1.73872956090459
"2539",2008-04-15,7957,2.58432051466606
"2544",2008-04-22,8550,7.18792385532723
"2549",2008-04-29,9273,8.11756688694185
"2553",2008-05-06,9855,6.08719887865945
"2558",2008-05-13,10354,4.93939778750274
"2563",2008-05-20,11793,13.0133216628122
"2567",2008-05-27,11269,-4.54505421376208
"2572",2008-06-03,11503,2.05522779436613
"2577",2008-06-10,11409,-0.820535329964045
"2582",2008-06-17,9413,-19.231080504915
