time,open,high,low,close
2010-10-05T00:00:00Z,2569,2569,2569,2569
2010-10-06T00:00:00Z,2639,2639,2639,2639
2010-10-07T00:00:00Z,2662,2662,2662,2662
2010-10-08T00:00:00Z,2696,2696,2696,2696
2010-10-11T00:00:00Z,2695,2695,2695,2695
2010-10-12T00:00:00Z,2719,2719,2719,2719
2010-10-13T00:00:00Z,2748,2748,2748,2748
2010-10-14T00:00:00Z,2769,2769,2769,2769
2010-10-15T00:00:00Z,2762,2762,2762,2762
2010-10-18T00:00:00Z,2756,2756,2756,2756
2010-10-19T00:00:00Z,2744,2744,2744,2744
2010-10-20T00:00:00Z,2729,2729,2729,2729
2010-10-21T00:00:00Z,2720,2720,2720,2720
2010-10-22T00:00:00Z,2727,2727,2727,2727
2010-10-25T00:00:00Z,2748,2748,2748,2748
2010-10-26T00:00:00Z,2778,2778,2778,2778
2010-10-27T00:00:00Z,2784,2784,2784,2784
2010-10-28T00:00:00Z,2707,2707,2707,2707
2010-10-29T00:00:00Z,2678,2678,2678,2678
2010-11-01T00:00:00Z,2648,2648,2648,2648
2010-11-02T00:00:00Z,2600,2600,2600,2600
2010-11-03T00:00:00Z,2542,2542,2542,2542
2010-11-04T00:00:00Z,2510,2510,2510,2510
2010-11-05T00:00:00Z,2495,2495,2495,2495
2010-11-08T00:00:00Z,2482,2482,2482,2482
2010-11-09T00:00:00Z,2467,2467,2467,2467
2010-11-10T00:00:00Z,2454,2454,2454,2454
2010-11-11T00:00:00Z,2366,2366,2366,2366
2010-11-12T00:00:00Z,2313,2313,2313,2313
2010-11-15T00:00:00Z,2261,2261,2261,2261
2010-11-16T00:00:00Z,2219,2219,2219,2219
2010-11-17T00:00:00Z,2188,2188,2188,2188
2010-11-18T00:00:00Z,2164,2164,2164,2164
2010-11-19T00:00:00Z,2155,2155,2155,2155
2010-11-22T00:00:00Z,2179,2179,2179,2179
2010-11-23T00:00:00Z,2199,2199,2199,2199
2010-11-24T00:00:00Z,2213,2213,2213,2213
2010-11-25T00:00:00Z,2200,2200,2200,2200
2010-11-26T00:00:00Z,2170,2170,2170,2170
2010-11-29T00:00:00Z,2145,2145,2145,2145
2010-11-30T00:00:00Z,2099,2099,2099,2099
2010-12-01T00:00:00Z,2096,2096,2096,2096
2010-12-02T00:00:00Z,2133,2133,2133,2133
2010-12-03T00:00:00Z,2168,2168,2168,2168
2010-12-06T00:00:00Z,2179,2179,2179,2179
2010-12-07T00:00:00Z,2173,2173,2173,2173
2010-12-08T00:00:00Z,2144,2144,2144,2144
2010-12-09T00:00:00Z,2111,2111,2111,2111
2010-12-10T00:00:00Z,2095,2095,2095,2095
2010-12-13T00:00:00Z,2076,2076,2076,2076
2010-12-14T00:00:00Z,2069,2069,2069,2069
2010-12-15T00:00:00Z,2047,2047,2047,2047
2010-12-16T00:00:00Z,2028,2028,2028,2028
2010-12-17T00:00:00Z,1999,1999,1999,1999
2010-12-20T00:00:00Z,1955,1955,1955,1955
2010-12-21T00:00:00Z,1886,1886,1886,1886
2010-12-22T00:00:00Z,1830,1830,1830,1830
2010-12-23T00:00:00Z,1795,1795,1795,1795
2010-12-24T00:00:00Z,1773,1773,1773,1773
2011-01-04T00:00:00Z,1693,1693,1693,1693
2011-01-05T00:00:00Z,1621,1621,1621,1621
2011-01-06T00:00:00Z,1544,1544,1544,1544
2011-01-07T00:00:00Z,1519,1519,1519,1519
2011-01-10T00:00:00Z,1495,1495,1495,1495
2011-01-11T00:00:00Z,1480,1480,1480,1480
2011-01-12T00:00:00Z,1453,1453,1453,1453
2011-01-13T00:00:00Z,1446,1446,1446,1446
2011-01-14T00:00:00Z,1439,1439,1439,1439
2011-01-17T00:00:00Z,1439,1439,1439,1439
2011-01-18T00:00:00Z,1432,1432,1432,1432
2011-01-19T00:00:00Z,1411,1411,1411,1411
2011-01-20T00:00:00Z,1393,1393,1393,1393
2011-01-21T00:00:00Z,1370,1370,1370,1370
2011-01-24T00:00:00Z,1345,1345,1345,1345
2011-01-25T00:00:00Z,1292,1292,1292,1292
2011-01-26T00:00:00Z,1234,1234,1234,1234
