"","WTI2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"58","2007-07-24",-0.157129925052857,2.84036020455058,0.731031698819606,3.96453784742352,-8957,2649,-2.41386928479095,-0.299929918601194,6.17364335316921,2.90482952476427,2.96965143466181,2.74638654168324,-5.05854339536729,7.19897345848501
"59","2007-07-31",4.3677783794811,0.56539288602977,3.52176929416146,-1.14926357328908,8753,5334,7.21069165991413,4.99718231217425,-3.58666024869656,5.62365025374181,5.91640361641854,-7.66965796696741,-5.01972657412857,-10.6666648447071
"60","2007-08-07",-3.98173654583314,-12.2337070857649,-2.35878500016415,-4.63282279815935,-16690,-39790,1.58853002709272,-1.67251302930485,-9.66603635689545,-2.19574498176023,-21.4941588935178,-5.87258601399618,6.77122105184687,-9.62718646948915
"61","2007-08-14",-25.1275062576683,-0.519669381330523,-25.6230912738109,0.898967306245169,6462,-4147,-44.4529555551862,-35.0881689450206,6.35365985471648,-5.70769609279189,-9.51116492262614,21.3228078241301,4.63560283654445,-2.63657860345745
"62","2007-08-21",-6.70081831859264,-5.01939004975487,-6.8800798650468,2.16206797940295,1645,-24230,-8.37188868475049,-10.996448215208,-1.96348750383297,-6.3985510019597,-8.25161875657869,20.6111017569981,-5.12144269242807,-0.0195457566785961
"63","2007-08-28",0.185987001968257,3.42335872403883,-0.278600733614809,2.99097304466294,3429,5546,-3.19591165548569,-1.90729982070472,6.72838873199861,-3.1912839478494,0.986173499098619,7.14066345010487,0.813001405205682,10.9239060565665
"64","2007-09-04",5.67448809380249,8.44746960397273,3.27205957048164,-3.63573931752477,18543,42667,2.59127482621224,6.62249972716538,4.15842589836881,4.11975269723523,12.3040318458708,-20.4002427493936,10.3837384443462,0.304467504970596
"65","2007-09-11",3.39931069794712,1.28288480978256,4.52277621510966,5.70014845143323,-8262,-8719,5.76870113184214,3.9756580856892,-1.08165794266082,-1.83711037766212,9.65923384659124,19.9330171219623,-11.9438929079537,4.59107092759599
"66","2007-09-18",-2.58805095826151,4.77452520399293,-2.29521037601614,-4.7005685165141,-2546,32334,-11.3225707682457,-1.18739022697874,3.64003034079126,1.12041549979391,9.91472802672977,-16.8021824727953,-6.15005873411025,-2.3144374933068
"67","2007-09-25",-2.80419049579788,-2.22199907993712,-1.10556956522618,12.5719702818175,-13201,-42260,-3.55784052122807,-7.96861766298207,-2.54176970902922,10.290684875495,1.31478589398224,12.6135707306185,-12.3411514301573,17.0672062557403
